tm_player_id,fotmob_player_id,fotmob_name,tm_name,status
503749,304355,Odysseas Vlachodimos,Jacob Ramsey,unmatched
505219,950474,James Garner,James Garner,matched
130164,303919,Jordan Pickford,Jordan Pickford,matched
173504,243138,James Tarkowski,James Tarkowski,matched
711544,1098607,Jake O'Brien,Jake O'Brien,matched
404842,874025,Vitaliy Mykolenko,Vitaliy Mykolenko,matched
623570,965764,Iliman Ndiaye,Iliman Ndiaye,matched
475188,886016,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,matched
118534,290410,Michael Keane,Michael Keane,matched
126665,179410,Idrissa Gueye,Idrissa Gueye,matched
937941,1398392,Thierno Barry,Thierno Barry,matched
595809,1079485,Beto,Beto,matched
696589,1203512,Tim Iroegbunam,Tim Iroegbunam,matched
584769,939542,Dwight McNeil,Dwight McNeil,matched
661053,1030829,Jarrad Branthwaite,Jarrad Branthwaite,matched
748319,1128965,Charly Alcaraz,Carlos Alcaraz,nickname
608832,1210384,Merlin Röhl,Merlin Röhl,matched
1107733,1559637,Harrison Armstrong,Harrison Armstrong,matched
936874,1424875,Tyrique George,Tyrique George,matched
866655,1292833,Tyler Dibling,Tyler Dibling,matched
424015,1112684,Nathan Patterson,Nathan Patterson,matched
118534,982394,Hayden Hackney,Michael Keane,unmatched
203460,1288287,Isaac Heath,Jack Grealish,unmatched
392771,780432,Ethan Ampadu,Ethan Ampadu,matched
297212,717174,Joe Rodon,Joe Rodon,matched
465717,789646,Jayden Bogle,Jayden Bogle,matched
306024,612150,Dominic Calvert-Lewin,Dominic Calvert-Lewin,matched
362108,744494,Gabriel Gudmundsson,Gabriel Gudmundsson,matched
393323,494417,Harry Wilson,Brenden Aaronson,unmatched
393323,952322,Brenden Aaronson,Brenden Aaronson,matched
344069,881735,Anton Stach,Anton Stach,matched
413220,710158,James Justin,James Justin,matched
371851,861805,Jaka Bijol,Jaka Bijol,matched
346890,915797,Noah Okafor,Noah Okafor,matched
352041,637656,Lucas Perri,Lucas Perri,matched
381753,1080983,Ilia Gruev,Ilia Gruev,matched
489359,935728,Ao Tanaka,Ao Tanaka,matched
314288,861197,Lukas Nmecha,Lukas Nmecha,matched
346707,820024,Sean Longstaff,Sean Longstaff,matched
319301,717176,Daniel James,Daniel James,matched
627626,1107286,Wilfried Gnonto,Wilfried Gnonto,matched
338629,922892,Sebastiaan Bornauw,Sebastiaan Bornauw,matched
369962,792540,Joël Piroe,Joël Piroe,matched
236953,363318,Sam Byram,Sam Byram,matched
297212,956161,Joe Gelhardt,Joe Rodon,unmatched
489359,1250485,Tarik Muharemovic,Ao Tanaka,unmatched
297212,1344677,Mateo Joseph,Joe Rodon,unmatched
392771,1077915,Largie Ramazani,Ethan Ampadu,unmatched
196722,1316124,Matheus França,Remi Matthews,unmatched
258919,719330,Dean Henderson,Dean Henderson,matched
730893,1120224,Tyrick Mitchell,Tyrick Mitchell,matched
434224,950485,Maxence Lacroix,Maxence Lacroix,matched
578539,950829,Chris Richards,Chris Richards,matched
744149,1296650,Adam Wharton,Adam Wharton,matched
493003,859282,Daniel Muñoz,Daniel Muñoz,matched
429983,821100,Jørgen Strand Larsen,Jørgen Strand Larsen,matched
420002,706297,Jean-Philippe Mateta,Jean-Philippe Mateta,matched
410225,771294,Ismaïla Sarr,Ismaïla Sarr,matched
568157,1047676,Yéremi Pino,Yéremy Pino,unmatched
356141,621515,Daichi Kamada,Daichi Kamada,matched
262980,466672,Jefferson Lerma,Jefferson Lerma,matched
470607,1076756,Brennan Johnson,Brennan Johnson,matched
207014,295067,Will Hughes,Will Hughes,matched
1006411,1664722,Jaydee Canvot,Jaydee Canvot,matched
747009,1336751,Justin Devenny,Justin Devenny,matched
85177,157838,Nathaniel Clyne,Nathaniel Clyne,matched
689637,1187506,Chadi Riad,Chadi Riad,matched
340324,860920,Edward Nketiah,Eddie Nketiah,nickname
293194,622091,Borna Sosa,Borna Sosa,matched
296802,448897,Walter Benítez,Walter Benítez,matched
500689,1428401,Romain Esse,Evann Guessand,unmatched
578539,1700817,Joél Drakes-Thomas,Chris Richards,unmatched
860078,1244376,Kaden Rodney,Kaden Rodney,matched
493003,1330872,David Ozoh,Daniel Muñoz,unmatched
744149,1197626,Tayo Adaramola,Adam Wharton,unmatched
293194,1226789,Jesurun Rak-Sakyi,Borna Sosa,unmatched
429983,1253868,Joe Whitworth,Jørgen Strand Larsen,unmatched
356141,1690903,Dean Benamar,Daichi Kamada,unmatched
543387,951954,Cheick Oumar Doucouré,Cheick Doucouré,matched
410225,952095,Óscar Mingueza,Ismaïla Sarr,unmatched
413507,766611,Nikola Milenkovic,Nikola Milenković,matched
503680,1078788,Neco Williams,Neco Williams,matched
429014,789502,Morgan Gibbs-White,Morgan Gibbs-White,matched
127202,181069,Matz Sels,Matz Sels,matched
432164,1082102,Igor Jesus,Igor Jesus,matched
1005649,1458711,Murillo,Murillo,matched
375885,795371,Ibrahim Sangaré,Ibrahim Sangaré,matched
392768,846383,Callum Hudson-Odoi,Callum Hudson-Odoi,matched
741238,1215652,Omari Hutchinson,Omari Hutchinson,matched
236490,682548,Ola Aina,Ola Aina,matched
673492,1053838,Morato,Morato,matched
365108,1022649,Dan Ndoye,Dan Ndoye,matched
497291,827315,Nicolás Dominguez,Nicolás Domínguez,matched
708072,1622290,Nicolò Savona,Nicolò Savona,matched
108725,169719,Chris Wood,Chris Wood,matched
425902,775614,Ryan Yates,Ryan Yates,matched
540664,1079539,Dilane Bakwa,Dilane Bakwa,matched
984096,1391209,Jair Cunha,Jair Cunha,matched
295313,643717,Taiwo Awoniyi,Taiwo Awoniyi,matched
432914,749834,John Victor,John Victor,matched
524285,1155130,Luca Netz,Luca Netz,matched
583199,1107648,James McAtee,James McAtee,matched
572265,1095445,Arnaud Kalimuendo-Muinga,Lorenzo Lucca,unmatched
365108,1524716,Tyler Bindon,Dan Ndoye,unmatched
741238,798608,Omar Richards,Omari Hutchinson,unmatched
984096,620027,Xaver Schlager,Jair Cunha,unmatched
557459,974618,Jan Paul van Hecke,Micky van de Ven,unmatched
192765,785411,Marcos Senesi,Ben Davies,unmatched
378710,72241,Martin Dúbravka,Richarlison,unmatched
192765,1356312,Mateus Fernandes,Ben Davies,unmatched
557459,1097466,Micky van de Ven,Micky van de Ven,matched
286047,538501,Guglielmo Vicario,Guglielmo Vicario,matched
553875,941573,Pedro Porro,Pedro Porro,matched
725912,867414,Sandro Tonali,Antonín Kinský,unmatched
483348,894803,Djed Spence,Djed Spence,matched
378710,654908,Richarlison,Richarlison,matched
354362,620618,Rodrigo Bentancur,Rodrigo Bentancur,matched
355915,789066,Cristian Romero,Cristian Romero,matched
566931,1173787,Xavi Simons,Xavi Simons,matched
543499,891743,Mohammed Kudus,Mohammed Kudus,matched
263236,754126,Kevin Danso,Kevin Danso,matched
922693,1323305,Archie Gray,Archie Gray,matched
801734,1288111,Mathys Tel,Mathys Tel,matched
568693,1107280,Pape Sarr,Pape Matar Sarr,matched
556385,1052898,Destiny Udogie,Destiny Udogie,matched
488362,966027,Conor Gallagher,Conor Gallagher,matched
743498,357880,Andrew Robertson,Wilson Odobert,unmatched
258889,591734,Dominic Solanke,Dominic Solanke,matched
