player_id,team_id,name,season_type
1359227,89396,Gonzalo Piñeiro,1
794311,213596,Fernando Juárez,1
1201808,161729,Leonel Bucca,1
1338317,161730,César Pérez,1
1216071,213596,Lucas Varaldo,1
922919,161730,Darío Cáceres,1
1452131,10083,Fabricio López,1
839634,568727,Blas Armoa,1
1241613,10087,Lautaro Ríos,1
1622776,10082,Bruno Cabrera,1
1580951,10201,Valentino Acuña,1
615987,10079,Braian Romero,1
1098367,89396,Nahuel Banegas,1
251543,89396,Ramón Arias,1
670344,10077,Milton Giménez,1
673769,10096,Bruno Pittón,1
832836,10090,Matías Tissera,1
1312034,161728,Guillermo Enrique,1
857527,10201,Gabriel Risso,1
1821216,10096,Misael Aguirre,1
1221037,10103,Bautista Barros Schelotto,1
1662972,10079,Thiago Silvero,1
1217961,568727,Luciano Cingolani,1
1201039,10077,Kevin Zenón,1
1653420,10090,Matías Gallardo,1
1509418,202757,Julián Mavilla,1
1442996,10083,Franco Lorenzón,1
833271,161728,Ignacio Chicco,1
861062,213591,Matías Ruíz Díaz,1
1514703,298629,Mauro Smarra,1
1405419,10201,David Sotelo,1
1442709,10083,Mauricio Cardillo,1
1199876,213596,Leonardo Marchi,1
1382785,568727,Ismael Cortez,1
1780078,10089,Celías Ingenthron,1
1662969,10079,Jano Gordon,1
1606849,10090,Agustín Massaccesi,1
1660382,10087,Santiago Daniele,1
527862,10078,Luciano Cabral,1
1402346,10103,Maximiliano Zalazar,1
968125,161730,Julián López,1
1096613,161729,Diego Crego,1
1897009,10090,Luca Rafaelli,1
1317180,161728,Matías Morello,1
1590260,161728,Alejandro Villarreal,1
1926170,161728,Felipe Anso,1
1098461,568727,Nicolás Ferreyra,1
18518,10094,José Sosa,1
961717,10082,Nicolás Morgantini,1
1738033,10084,Giovanni Cantizano,1
979771,10201,Franco García,1
1266877,10201,Martín Ortega,1
1634838,10077,Iker Zufiaurre,1
876842,10087,Neyder Moreno,1
1729714,10201,Francisco Scarpeccio,1
1958447,10076,Lucas Silva,1
1347567,10080,Valentín Carboni,1
1554748,10084,Luca Raffin,1
1661689,10103,Jeremías Merlo,1
1402051,10201,Marcelo Esponda,1
1280806,10096,Nicolás Palavecino,1
1343215,10103,Gonzalo Errecalde,1
290692,10096,Franco Fragapane,1
447556,10076,Paulo Díaz,1
847131,10083,Guzmán Corujo,1
1738383,10082,Facundo Sánchez,1
589900,213591,Ramón Ábila,1
407796,10096,Augusto Solari,1
1343195,161730,Abiel Osorio,1
360797,10077,Lucas Janson,1
1899029,10077,Gonzalo Gelini,1
1220047,10096,Agustín Colazo,1
246408,10096,Lucas Menossi,1
693593,10089,Augusto Lotti,1
1782368,10079,Álex Verón,1
1531913,10081,Leandro Lescano,1
1709841,10083,Juan Rattalino,1
1737755,10083,Alejo Cordoba,1
847978,10082,Franco Petroli,1
496869,202757,Iván Arboleda,1
1219709,161728,Joaquín Pombo,1
561146,10083,José Devecchi,1
926330,10089,Juan Cozzani,1
1727696,89396,Juan Villalba,1
1386007,568727,Lautaro Petruchi,1
800702,213591,Lucas Bruera,1
591557,10090,Marcos Ledesma,1
394125,298629,Milton Céliz,1
174321,10076,Nicolás Otamendi,1
618779,568727,Brian Andrada,1
1373618,213591,Gonzalo González,1
618807,213534,Rodrigo Bogarín,1
40148,10086,Enzo Pérez,1
1455479,161728,Federico Laurelli,1
1634589,10087,Juan Luis Alfaro,1
1709488,213534,Enzo Taborda,1
1580546,10076,Agustín Ruberto,1
1732523,10101,Timoteo Chamorro,1
624411,10081,Eric Ramírez,1
882460,10090,Jonás Acevedo,1
1457873,213591,Tomás Olmos,1
186991,10076,Germán Pezzella,1
1288591,161730,Facundo Altamira,1
1959152,213591,Facundo Gallardo,1
1039686,10079,Imanol Machuca,1
923598,10084,Tomás Badaloni,1
1323824,10101,Martín Río,1
1622884,10094,Joaquín Pereyra,1
1641229,10103,Julián Kadijevic,1
1645755,161730,Mateo Aguiar,1
939335,161727,Ramiro Ruiz,1
918846,10086,Gastón Verón,1
1895887,161730,Máximo Rodríguez,1
1826057,10103,Pablo Aguiar,1
1458519,10103,Juan Pérez,1
1771178,161728,Bautista Dadín,1
890218,298629,Rodrigo Sayavedra,1
1608138,10103,Juan Cortazzo,1
1372719,161728,Facundo De La Vega,1
723489,10086,Claudio Bravo,1
1295031,298629,Gonzalo Flores,1
1610373,10076,Facundo González,1
905265,10086,Kevin Gutiérrez,1
1607568,10076,Tobías Ramírez,1
1782369,10079,Matías Arias,1
1714933,10080,Alejandro Tello,1
1513012,213596,Javier Vallejos,1
881159,10090,Franco Moyano,1
1917089,10078,Facundo Valdéz,1
1244348,10080,Ignacio Rodríguez,1
1087773,10080,Juan Nardoni,1
1609667,161730,Luciano González,1
1372669,568727,Tomás O'Connor,1
1226851,10081,Luciano Giménez,1
1666511,10076,Santiago Lencina,1
1111937,10080,Lautaro Díaz,1
1042007,161728,Matías Godoy,1
533775,10076,Rafael Borré,1
1353567,213591,Yeison Moreno,1
1037554,10083,Diego Herazo,1
269222,10094,Lucas Alario,1
1929700,161730,Alan Coria,1
469616,10078,Maximiliano Meza,1
1335154,10080,Damián Pizarro,1
1277344,161728,Rodrigo Márquez,1
1946519,10076,Lautaro Pereyra,1
1653424,10089,Santiago Dalmasso,1
1054269,10086,Gabriel Florentín,1
848187,298629,Braian Sánchez,1
617244,213534,Lucas Emanuel Gamba,1
1137661,10086,Franco Paredes,1
529208,10201,Fabián Noguera,1
795724,10081,Leonardo Sequeira,1
1290809,10090,Agustín Bravo,1
974755,10076,Lucas Beltrán,1
1347380,298629,Tomás González,1
49677,10077,Édinson Cavani,1
1725196,10096,Diego Díaz,1
1166329,10101,Rodrigo Guth,1
1843967,10084,Elías Verón,1
1336583,213591,Ezequiel Forclaz,1
1028265,213591,Lucas González,1
1712136,202757,Elián Giménez,1
1648716,10080,Alan Forneris,1
175364,10087,Nicolás Colazo,1
1352754,161727,Alexis Segovia,1
1700565,10096,Emilio Giaccone,1
1897441,10080,Gonzalo Sosa,1
298229,161727,Martín Benítez,1
432950,10076,Ángel Correa,1
1436204,161727,Manuel Brondo,1
1447680,161729,Alessandro Riep,1
1895783,213596,Joaquin Flores,1
1434853,10076,Kevin Castaño,1
1435121,161729,Kevin Vázquez,1
1451319,89396,Joaquín Mosqueira,1
1383188,10086,Ryoga Kida,1
1710297,10077,Camilo Rey Domenech,1
1434896,10083,Gonzalo Alassia,1
1695058,10087,Brandon Oviedo,1
1340884,161729,Emmanuel Gómez,1
618946,10101,Ezequiel Unsain,1
1528896,10080,Gonzalo Escudero,1
1362307,10201,Jherson Mosquera,1
941538,161727,Juan Infante,1
2099285,10096,Lucas Ayala,1
369831,10092,Manuel Vicentini,1
1928887,10103,Máximo Cabrera,1
1209083,10081,Sebastián Meza,1
1844310,10079,Simón Escobar,1
1945770,10096,Tomas Fagioli,1
886331,10079,Tomás Marchiori,1
1096608,89396,Tomás Sultani,1
1797278,10082,Thomás de Martis,1
1201767,161729,Stefano Moreyra,1
1441625,10103,Diego Mastrángelo,1
1416383,10087,Lucas Palavecino,1
1504612,10101,Matías Gómez,1
1796602,10094,Franco Domínguez,1
1607563,213591,Tobías Leiva,1
1456369,10082,Luciano Romero,1
814864,161728,Mauro Da Luz,1
1925924,10084,Lucas Ramos,1
1680165,10084,Santiago Segovia,1
1074868,161728,Elías López,1
1436134,10096,Emiliano Álvarez,1
1372670,10084,Fabricio Oviedo,1
1109039,10201,Franco Orozco,1
1924773,10086,Santino Gianini,1
1216390,298629,Alejo Dramisino,1
1744054,161727,Ramiro Paunero,1
625340,10076,Mauro Arambarri,1
589348,10087,Federico Anselmo,1
1899030,10077,Leonel Flores,1
1342537,10096,Nicolás Paz,1
1818806,10096,Santiago Grella,1
1110613,161729,Luis Sequeira,1
