player_name,club,minutes_played,npxg_per90,xa_per90,shots_on_target_per90,progressive_passes_per90,successful_dribbles_per90,pass_completion_percentage,tackles_interceptions_per90,aerial_duels_won_percentage,ball_recoveries_per90,fouls_committed_per90,date_of_birth,country_of_citizenship,transfermarkt_position,preferred_foot,height_in_cm,player_photo_url,market_value_in_eur,stats_vector
Manu Koné,AS Roma,2582,0.1164213787761425,0.0543764523625096,0.313710302091402,10.422153369481022,1.04570100697134,91.32,2.26568551510457,40.35,4.566227730441518,0.975987606506584,17/05/2001 00:00,France,Midfield,right,185.0,https://img.a.transfermarkt.technology/portrait/header/624690-1757931309.jpg?lm=1,50000000,"[0.12248248588888529, 0.10283704092887241, 0.11644316421378778, 0.3250291472388298, 0.16646517587612297, 0.9188734762505253, 0.3255873999483604, 0.44833333333333336, 0.5306945402095661, 0.19606506584043373]"
Daniele Ghilardi,Hellas Verona,2031,0.025258493353028,0.0181683899556868,0.1772525849335302,3.766617429837519,0.0886262924667651,80.68,3.2791728212703104,50.6,2.4372230428360413,1.4623338257016247,06/01/2003 00:00,Italy,Defender,right,189.0,https://img.a.transfermarkt.technology/portrait/header/701819-1725530673.jpg?lm=1,8000000,"[0.026573496107063214, 0.03219494010205645, 0.06579271294928604, 0.10617276608193778, 0.014108422258728028, 0.6952501050861708, 0.4712292795010668, 0.5622222222222223, 0.2313977202517722, 0.29376661742983745]"
Diego Coppola,Hellas Verona,2926,0.0230690362269309,0.0055365686944634,0.1230348598769651,1.107313738892686,0.0307587149692412,81.42,4.244702665755297,64.56,2.737525632262474,1.3533834586466165,28/12/2003 00:00,Italy,Defender,right,193.0,https://img.a.transfermarkt.technology/portrait/header/660860-1663671800.jpg?lm=1,10000000,"[0.024270051891141748, 0.0075501971402371325, 0.045668147641831844, 0.01872592671763456, 0.004896480794168927, 0.7108028583438419, 0.6099794941900205, 0.7173333333333334, 0.27361444742183366, 0.2718796992481203]"
Ange-Yoan Bonny,Parma,2545,0.2486051080550098,0.0763850687622789,0.7779960707269155,6.400785854616895,1.1669941060903732,76.84,1.3084479371316309,26.32,2.2632612966601178,0.7426326129666012,25/10/2003 00:00,Cote d'Ivoire,Attack,right,189.0,https://img.a.transfermarkt.technology/portrait/header/827734-1751380953.jpg?lm=1,0,"[0.2615479386977714, 0.14577595550824668, 0.28877701375245585, 0.1927930734520825, 0.1857738281034831, 0.6145439260193359, 0.1880288146692862, 0.29244444444444445, 0.20694206840287072, 0.14918664047151275]"
Devyne Rensch,AS Roma,470,0.0517021276595744,0.1474468085106383,0.3829787234042553,8.042553191489361,0.0,85.71,4.595744680851063,58.82,2.48936170212766,0.1914893617021276,18/01/2003 00:00,Netherlands,Defender,right,181.0,https://img.a.transfermarkt.technology/portrait/header/557407-1683881379.jpg?lm=1,8500000,"[0.054393833744793854, 0.2844177455004843, 0.14215425531914896, 0.24677989905229739, 0.0, 0.8009667927700712, 0.6604255319148935, 0.6535555555555556, 0.23872740581502733, 0.038468085106382964]"
Davide Zappacosta,Atalanta,2076,0.0988439306358381,0.130057803468208,0.5202312138728323,11.921965317919076,0.5202312138728323,85.89,1.6040462427745663,47.83,3.8583815028901736,0.823699421965318,11/06/1992 00:00,Italy,Midfield,right,182.0,https://img.a.transfermarkt.technology/portrait/header/173859-1661268432.jpg?lm=1,3500000,"[0.10398992407214933, 0.2504917145054123, 0.193099710982659, 0.3743480027641749, 0.08281562314299605, 0.8047498949138294, 0.23050738599871545, 0.5314444444444445, 0.4311850716965981, 0.16547206165703274]"
Adam Masina,Torino,1926,0.0336448598130841,0.0345794392523364,0.0934579439252336,4.906542056074767,0.2803738317757009,85.39,2.8037383177570097,73.91,4.112149532710281,1.074766355140187,02/01/1994 00:00,Morocco,Defender,left,191.0,https://img.a.transfermarkt.technology/portrait/header/286949-1658130450.jpg?lm=1,1400000,"[0.03539647194192196, 0.06421297481659327, 0.03468977154724817, 0.14365731740167267, 0.04463271901476112, 0.7942412778478352, 0.40290758047767394, 0.8212222222222222, 0.46685994116695934, 0.21590861889927307]"
Albert Gudmundsson,Fiorentina,1285,0.2066147859922178,0.0672373540856031,1.050583657587549,8.614785992217898,1.050583657587549,86.81,1.050583657587549,25.0,3.712062256809338,0.9105058365758756,15/06/1997 00:00,Iceland,Attack,right,177.0,https://img.a.transfermarkt.technology/portrait/header/305947-1705389252.jpg?lm=1,30000000,"[0.21737152467835924, 0.1279287209541296, 0.389956225680934, 0.26559683597254613, 0.16724244517982478, 0.8240857503152585, 0.15097276264591442, 0.2777777777777778, 0.41061541992196043, 0.18291050583657587]"
Ignace Van der Brempt,Como,1264,0.032753164556962,0.0277689873417721,0.2136075949367088,6.906645569620253,0.9256329113924052,82.87,4.0585443037974684,52.94,4.200949367088608,1.495253164556962,01/04/2002 00:00,Belgium,Defender,right,187.0,https://img.a.transfermarkt.technology/portrait/header/490423-1757664819.jpg?lm=1,3500000,"[0.0344583534213093, 0.050925750961952315, 0.07928698575949367, 0.20942744033142682, 0.14735153200047324, 0.7412778478352249, 0.5832278481012658, 0.5882222222222222, 0.4793434778153, 0.300379746835443]"
Ché Adams,Torino,2657,0.2757245013172751,0.096876176138502,0.8806925103500188,5.080918328942416,0.3726006774557772,75.23,0.4742190440346255,36.73,1.6936394429808057,0.9823108769288672,13/07/1996 00:00,Scotland,Attack,right,179.0,https://img.a.transfermarkt.technology/portrait/header/346779-1716381473.jpg?lm=1,18000000,"[0.2900792165221603, 0.18575420281295474, 0.3268959352653369, 0.14939139507558644, 0.059314313451682914, 0.5807061790668349, 0.06814703299460544, 0.4081111111111111, 0.12686426943079332, 0.1973353406097102]"
