tm_player_id,fotmob_player_id,fotmob_name,tm_name,fallback
429259,924485,Mark McKenzie,Mark McKenzie,No
476836,823293,Aron Dønnum,Aron Dønnum,No
161869,242156,Djibril Sidibé,Djibril Sidibé,No
1191444,1664716,Dayann Methalie,Dayann Methalie,No
989574,1362516,Santiago Hidalgo,Santiago Hidalgo,No
807689,1324358,Frank Magri,Frank Magri,No
1200427,1791727,Alexis Vossah,Alexis Vossah,No
794758,1145717,Warren Kamanzi,Warren Kamanzi,No
710885,1256224,Mário Sauer,Mario Sauer,No
658533,1066264,Abu Francis,Abu Francis,No
883865,1640973,Rafik Messali,Rafik Messali,No
1075583,1791729,Seny Koumbassa,Seny Koumbassa,No
683625,1106866,Jacen Russell-Rowe,Jacen Russell-Rowe,No
1234988,1611220,Julián Vignolo,Julián Vignolo,No
1200417,1751857,Ilyas Azizi,Ilyas Azizi,Yes
986310,1664718,Mathis Saka,Mathis Saka,Yes
1075580,1487879,Mathys Niflore,Mathys Niflore,Yes
923758,1428672,Ylies Aradj,Ylies Aradj,Yes
147051,274787,Yvon Mvogo,Yvon Mvogo,No
1088199,1640832,Arsène Kouassi,Arsène Kouassi,No
496706,846392,Montassar Talbi,Montassar Talbi,No
1074628,1565010,Arthur Avom,Arthur Avom,No
766412,1292354,Théo Le Bris,Théo Le Bris,No
691958,1097446,Noah Cadiou,Noah Cadiou,No
322305,699461,Jean-Victor Makengo,Jean-Victor Makengo,No
810411,1331097,Pablo Pagis,Pablo Pagis,No
391720,723564,Igor Silva,Igor Silva,No
822458,1230848,Bamba Dieng,Bamba Dieng,No
239647,841395,Aiyegun Tosin,Aiyegun Tosin,No
646829,1351065,Nathaniel Adjei,Nathaniel Adjei,No
816308,1427808,Panos Katseris,Panos Katseris,No
619461,1202239,Mohamed Bamba,Mohamed Bamba,No
700078,1049665,Joel Mvuka,Joel Mvuka,Yes
333175,564571,Bingourou Kamara,Bingourou Kamara,No
649023,1053675,Formose Mendy,Formose Mendy,Fixed
1254786,1668294,Gabin Bernardeau,Gabin Bernardeau,Yes
708678,1180547,Souleymane Touré,Isaak�Tour�,Fixed
324800,688285,Alec Georgen,Alec Georgen,Yes
1049151,1399999,Dembo Sylla,Dembo Sylla,Yes
981760,1682404,Jérémy Hatchi,Jeremy Hatchi,Yes
649026,1053678,Mamadou Mbow,Mamadou Mbow,Fixed
739769,999690,Ilan Kebbal,Ilan Kebbal,No
973949,1513317,Adama Camara,Adama Camara,No
274862,467486,Moses Simon,Moses Simon,No
45672,145550,Kevin Trapp,Kevin Trapp,No
290862,614207,Maxime Lopez,Maxime Lopez,No
377393,660462,Pierre Lees-Melou,Pierre Lees-Melou,No
818495,1190113,Otávio,Otávio,No
955281,1487894,Nhoa Sangui,Nhoa Sangui,No
1241211,1738340,Rudy Matondo,Rudy Matondo,No
297070,426892,Hamari Traoré,Hamari Traoré,No
340177,784448,Thibault De Smet,Thibault De Smet,No
668167,1039219,Samir Chergui,Samir Chergui,No
324690,637745,Jonathan Ikoné,Jonathan Ikoné,No
358515,853108,Jean-Philippe Krasso,Jean-Philippe Krasso,No
750878,1127125,Obed Nkambadio,Obed Nkambadio,No
463620,883824,Willem Geubbels,Willem Geubbels,No
435492,765158,Alimami Gory,Alimami Gory,No
374040,640292,Vincent Marchetti,Vincent Marchetti,No
105521,161660,Ciro Immobile,Ciro Immobile,No
84085,150869,Timothée Kolodziejczak,Timothée Kolodziejczak,No
433887,965666,Tuomas Ollila,Tuomas Ollila,No
399383,683476,Mathieu Cafaro,Mathieu Cafaro,No
203504,690119,Pierre-Yves Hamel,Pierre-Yves Hamel,No
1363293,1709839,Patrick Zabi,Patrick Zabi,Yes
1132426,1529204,Omar Sissoko,Omar Sissoko,Yes
914539,1283024,Yoan Koré,Yoan Kore,Yes
536506,1438302,Mathys Tourraine,Mathys Tourraine,Yes
283994,471153,Ludovic Ajorque,Ludovic Ajorque,No
174196,279461,Kenny Lala,Kenny Lala,No
624037,1079548,Joris Chotard,Joris Chotard,No
474662,812415,Hugo Magnetti,Hugo Magnetti,No
353399,696263,Romain Del Castillo,Romain Del Castillo,No
250779,448865,Brendan Chardonnet,Brendan Chardonnet,No
525155,864145,Grégoire Coudert,Grégoire Coudert,No
671594,1310270,Kamory Doumbia,Kamory Doumbia,No
671590,1230286,Daouda Guindo,Daouda Guindo,No
659513,1282000,Soumaïla Coulibaly,Soumaïla Coulibaly,No
805908,1285784,Bradley Locko,Bradley Locko,No
979551,1514456,Pathé Mboup,Pathé Mboup,No
353948,612277,Lucas Tousart,Lucas Tousart,No
325223,541933,Mama Baldé,Mama Baldé,No
1166473,1699556,Raphaël Le Guen,Raphaël Le Guen,No
1200289,1581744,Hamidou Makalou,Hamidou Makalou,No
1144999,1592417,Luck Zogbé,Luck Zogbé,No
1030153,1668289,Justin Bourgault,Justin Bourgault,Yes
924800,1289641,Axel Camblan,Axel Camblan,Yes
1131159,1669616,Ibrahim Kanté,Ibrahim Yayiya�Kant�,Fixed
192492,492116,Jordan Lefort,Jordan Lefort,No
60561,167035,Anthony Lopes,Anthony Lopes,Fixed
138055,561869,Haris Belkebla,Haris Belkebla,No
804711,1178325,Ousmane Camara,Ousmane Camara,No
970279,1327156,Jacques Ekomié,Jacques Ekomié,No
807688,1347791,Yassin Belkhdim,Yassin Belkhdim,No
371686,634110,Carlens Arcus,Carlens Arcus,No
